127.0.0.1 - - [14/Feb/2023:19:41:10 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [14/Feb/2023:19:41:32 +0700] "GET /HV_SoftwarePackage/admin/UserList.jsp HTTP/1.1" 200 27444
0:0:0:0:0:0:0:1 - - [14/Feb/2023:19:41:36 +0700] "GET /HV_SoftwarePackage/assets/css/nucleo-icons.css HTTP/1.1" 200 9417
0:0:0:0:0:0:0:1 - - [14/Feb/2023:19:41:36 +0700] "GET /HV_SoftwarePackage/css/main.css HTTP/1.1" 200 3528
0:0:0:0:0:0:0:1 - - [14/Feb/2023:19:41:36 +0700] "GET /HV_SoftwarePackage/assets/css/nucleo-svg.css HTTP/1.1" 200 2387
0:0:0:0:0:0:0:1 - - [14/Feb/2023:19:41:36 +0700] "GET /HV_SoftwarePackage/assets/css/argon-dashboard.css?v=2.0.4 HTTP/1.1" 200 509294
0:0:0:0:0:0:0:1 - - [14/Feb/2023:19:41:36 +0700] "GET /HV_SoftwarePackage/ckfinder/ckfinder.js HTTP/1.1" 200 309599
0:0:0:0:0:0:0:1 - - [14/Feb/2023:19:41:39 +0700] "GET /HV_SoftwarePackage/js/user.js HTTP/1.1" 200 3664
0:0:0:0:0:0:0:1 - - [14/Feb/2023:19:41:39 +0700] "GET /HV_SoftwarePackage/js/donation.js HTTP/1.1" 200 7037
0:0:0:0:0:0:0:1 - - [14/Feb/2023:19:41:39 +0700] "GET /HV_SoftwarePackage/assets/js/core/bootstrap.min.js HTTP/1.1" 200 60018
0:0:0:0:0:0:0:1 - - [14/Feb/2023:19:41:39 +0700] "GET /HV_SoftwarePackage/assets/js/core/popper.min.js HTTP/1.1" 200 19731
0:0:0:0:0:0:0:1 - - [14/Feb/2023:19:41:39 +0700] "GET /HV_SoftwarePackage/assets/js/plugins/perfect-scrollbar.min.js HTTP/1.1" 200 19430
0:0:0:0:0:0:0:1 - - [14/Feb/2023:19:41:39 +0700] "GET /HV_SoftwarePackage/assets/js/plugins/chartjs.min.js HTTP/1.1" 200 176866
0:0:0:0:0:0:0:1 - - [14/Feb/2023:19:41:39 +0700] "GET /HV_SoftwarePackage/assets/js/plugins/smooth-scrollbar.min.js HTTP/1.1" 200 48446
0:0:0:0:0:0:0:1 - - [14/Feb/2023:19:41:39 +0700] "GET /HV_SoftwarePackage/assets/js/argon-dashboard.min.js?v=2.0.4 HTTP/1.1" 200 16126
0:0:0:0:0:0:0:1 - - [14/Feb/2023:19:41:39 +0700] "GET /HV_SoftwarePackage/assets/img/logo-ct-dark.png HTTP/1.1" 200 6956
0:0:0:0:0:0:0:1 - - [14/Feb/2023:19:41:40 +0700] "GET /HV_SoftwarePackage/assets/fonts/nucleo-icons.woff2 HTTP/1.1" 200 8580
0:0:0:0:0:0:0:1 - - [14/Feb/2023:19:41:43 +0700] "GET /HV_SoftwarePackage/assets/img/favicon.png HTTP/1.1" 200 809
0:0:0:0:0:0:0:1 - - [14/Feb/2023:19:41:53 +0700] "GET /HV_SoftwarePackage/UsersController?action=userList HTTP/1.1" 200 31558
