127.0.0.1 - - [08/Mar/2023:08:01:43 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:01:46 +0700] "GET /HV_SoftwarePackage/user/jsp/contact.jsp HTTP/1.1" 200 10677
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:01:47 +0700] "GET /HV_SoftwarePackage/template/user/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:01:47 +0700] "GET /HV_SoftwarePackage/template/user/css/aos.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:01:47 +0700] "GET /HV_SoftwarePackage/template/user/css/open-iconic-bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:01:47 +0700] "GET /HV_SoftwarePackage/template/user/css/owl.carousel.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:01:47 +0700] "GET /HV_SoftwarePackage/template/user/css/owl.theme.default.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:01:47 +0700] "GET /HV_SoftwarePackage/template/user/css/magnific-popup.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:01:47 +0700] "GET /HV_SoftwarePackage/template/user/css/ionicons.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:01:47 +0700] "GET /HV_SoftwarePackage/template/user/css/bootstrap-datepicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:01:47 +0700] "GET /HV_SoftwarePackage/user/css/user.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:01:47 +0700] "GET /HV_SoftwarePackage/template/user/css/icomoon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:01:47 +0700] "GET /HV_SoftwarePackage/template/user/css/jquery.timepicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:01:47 +0700] "GET /HV_SoftwarePackage/template/user/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:01:47 +0700] "GET /HV_SoftwarePackage/template/user/css/flaticon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:01:47 +0700] "GET /HV_SoftwarePackage/template/user/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:01:47 +0700] "GET /HV_SoftwarePackage/template/user/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:01:47 +0700] "GET /HV_SoftwarePackage/template/user/js/jquery-migrate-3.0.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:01:47 +0700] "GET /HV_SoftwarePackage/template/user/js/popper.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:01:47 +0700] "GET /HV_SoftwarePackage/template/user/js/jquery.easing.1.3.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:01:47 +0700] "GET /HV_SoftwarePackage/template/user/js/jquery.waypoints.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:01:47 +0700] "GET /HV_SoftwarePackage/template/user/js/jquery.stellar.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:01:47 +0700] "GET /HV_SoftwarePackage/template/user/js/owl.carousel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:01:47 +0700] "GET /HV_SoftwarePackage/template/user/js/jquery.magnific-popup.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:01:47 +0700] "GET /HV_SoftwarePackage/template/user/js/bootstrap-datepicker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:01:47 +0700] "GET /HV_SoftwarePackage/template/user/js/jquery.animateNumber.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:01:47 +0700] "GET /HV_SoftwarePackage/template/user/js/aos.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:01:47 +0700] "GET /HV_SoftwarePackage/template/user/js/jquery.timepicker.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:01:47 +0700] "GET /HV_SoftwarePackage/template/user/js/scrollax.min.js HTTP/1.1" 304 -
